business_id,sector,business_age_years,legal_status,division,location_type,employees_count,monthly_revenue_bdt,monthly_profit_bdt,existing_loans,prior_loan_count,late_payment_history,loan_purpose,loan_amount_bdt,preferred_tenure_months,collateral_level,cashflow_stability,missed_payment_last_12m,repayment_confidence,owner_education,days_payable_outstanding,business_description,loan_purpose_description,repayment_plan_description,risk_factors_description,target_missed_payment,split
SME0001,Manufacturing,15,Limited,Dhaka,Urban,23,403110,96506,Yes,0,Rarely,Working capital,783644,30,Low,5,No,4,Primary,45,"Food processing in Dhaka City, Dhaka division. Operating 15 years with 23 employees. Urban market with strong competition. Monthly revenue approximately 403K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 783K BDT for working capital. Current operations at capacity. Need funds to expand working capital. Market opportunity significant with 25% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 30 months from business cashflow.,Monthly installment 26K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 30% of revenue for loan servicing. 0 previous loans repaid successfully. Cashflow stability rated 5/5. Owner committed with low collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Dhaka division market stable. Customer base loyal with 15 years reputation. Management experienced in handling operational challenges.",0,train
SME0002,Retail,16,Sole,Rajshahi,Urban,13,1562133,428067,Yes,2,Never,Working capital,3745637,36,High,3,No,2,Secondary,30,"Furniture store in Sirajganj, Rajshahi division. Operating 16 years with 13 employees. Urban market with strong competition. Monthly revenue approximately 1562K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 3745K BDT for working capital. Current operations at capacity. Need funds to expand working capital. Market opportunity significant with 30% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 36 months from business cashflow.,Monthly installment 104K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 30% of revenue for loan servicing. 2 previous loans repaid successfully. Cashflow stability rated 3/5. Owner committed with high collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Rajshahi division market stable. Customer base loyal with 16 years reputation. Management experienced in handling operational challenges.",0,test
SME0003,Retail,17,Sole,Dhaka,Urban,7,655507,175415,Yes,2,Never,Equipment,1542616,24,Low,4,Yes,4,Master's,75,"Furniture store in Gazipur, Dhaka division. Operating 17 years with 7 employees. Urban market with strong competition. Monthly revenue approximately 655K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 1542K BDT for equipment. Current operations at capacity. Need funds to purchase modern equipment. Market opportunity significant with 30% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 24 months from business cashflow.,Monthly installment 64K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 25% of revenue for loan servicing. 2 previous loans repaid successfully. Cashflow stability rated 4/5. Owner committed with low collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Dhaka division market stable. Customer base loyal with 17 years reputation. Management experienced in handling operational challenges.",1,test
SME0004,Agriculture,13,Sole,Dhaka,Rural,8,775961,172782,Yes,0,Never,Expansion,1614271,18,High,4,No,5,Higher Secondary,90,"Rice mill in Dhaka City, Dhaka division. Operating 13 years with 8 employees. Rural area serving local community. Monthly revenue approximately 775K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 1614K BDT for expansion. Current operations at capacity. Need funds to open new branch. Market opportunity significant with 25% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 18 months from business cashflow.,Monthly installment 89K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 25% of revenue for loan servicing. 0 previous loans repaid successfully. Cashflow stability rated 4/5. Owner committed with high collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Dhaka division market stable. Customer base loyal with 13 years reputation. Management experienced in handling operational challenges.",0,train
SME0005,Agriculture,1,Sole,Sylhet,Rural,6,1020828,327125,Yes,1,Never,Working capital,730691,6,Moderate,3,No,4,Secondary,40,"Fish hatchery in Habiganj, Sylhet division. Operating 1 years with 6 employees. Rural area serving local community. Monthly revenue approximately 1020K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 730K BDT for working capital. Current operations at capacity. Need funds to expand working capital. Market opportunity significant with 15% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 6 months from business cashflow.,Monthly installment 121K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 20% of revenue for loan servicing. 1 previous loans repaid successfully. Cashflow stability rated 3/5. Owner committed with moderate collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Sylhet division market stable. Customer base loyal with 1 years reputation. Management experienced in handling operational challenges.",0,train
SME0006,Retail,19,Sole,Sylhet,Rural,22,1571714,517022,Yes,3,Never,Renovation,3602655,12,Low,2,Yes,4,Secondary,30,"Clothing boutique in Habiganj, Sylhet division. Operating 19 years with 22 employees. Rural area serving local community. Monthly revenue approximately 1571K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 3602K BDT for renovation. Current operations at capacity. Need funds to renovate premises. Market opportunity significant with 15% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 12 months from business cashflow.,Monthly installment 300K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 25% of revenue for loan servicing. 3 previous loans repaid successfully. Cashflow stability rated 2/5. Owner committed with low collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Sylhet division market stable. Customer base loyal with 19 years reputation. Management experienced in handling operational challenges.",1,train
SME0007,Retail,19,Sole,Dhaka,Urban,10,1235355,169085,Yes,0,Rarely,Expansion,983557,36,Low,5,No,4,Secondary,60,"Clothing boutique in Dhaka City, Dhaka division. Operating 19 years with 10 employees. Urban market with strong competition. Monthly revenue approximately 1235K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 983K BDT for expansion. Current operations at capacity. Need funds to open new branch. Market opportunity significant with 20% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 36 months from business cashflow.,Monthly installment 27K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 25% of revenue for loan servicing. 0 previous loans repaid successfully. Cashflow stability rated 5/5. Owner committed with low collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Dhaka division market stable. Customer base loyal with 19 years reputation. Management experienced in handling operational challenges.",0,test
SME0008,Manufacturing,6,Sole,Khulna,Urban,21,2634624,568087,Yes,2,Never,Working capital,5000000,12,Low,1,Yes,4,Primary,30,"Food processing in Satkhira, Khulna division. Operating 6 years with 21 employees. Urban market with strong competition. Monthly revenue approximately 2634K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 5000K BDT for working capital. Current operations at capacity. Need funds to expand working capital. Market opportunity significant with 30% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 12 months from business cashflow.,Monthly installment 416K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 30% of revenue for loan servicing. 2 previous loans repaid successfully. Cashflow stability rated 1/5. Owner committed with low collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Khulna division market stable. Customer base loyal with 6 years reputation. Management experienced in handling operational challenges.",1,train
SME0009,Retail,1,Sole,Sylhet,Urban,12,1049556,156911,No,3,Never,Expansion,2240218,18,Moderate,3,Yes,2,Master's,40,"Grocery shop in Sylhet City, Sylhet division. Operating 1 years with 12 employees. Urban market with strong competition. Monthly revenue approximately 1049K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 2240K BDT for expansion. Current operations at capacity. Need funds to open new branch. Market opportunity significant with 25% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 18 months from business cashflow.,Monthly installment 124K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 30% of revenue for loan servicing. 3 previous loans repaid successfully. Cashflow stability rated 3/5. Owner committed with moderate collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Sylhet division market stable. Customer base loyal with 1 years reputation. Management experienced in handling operational challenges.",1,test
SME0010,Services,3,Limited,Barisal,Urban,21,289054,46833,No,2,Never,Working capital,528102,6,Low,4,No,4,Primary,90,"Repair workshop in Barisal City, Barisal division. Operating 3 years with 21 employees. Urban market with strong competition. Monthly revenue approximately 289K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 528K BDT for working capital. Current operations at capacity. Need funds to expand working capital. Market opportunity significant with 30% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 6 months from business cashflow.,Monthly installment 88K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 30% of revenue for loan servicing. 2 previous loans repaid successfully. Cashflow stability rated 4/5. Owner committed with low collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Barisal division market stable. Customer base loyal with 3 years reputation. Management experienced in handling operational challenges.",0,train
